Bedrooms,Bathrooms,Area_sqm,Price_monthly,Price_annualy,Furnished,Pool,Floor,Floor_type,Location,Description,Specialities
3,3,182.0,,,0,0,طابق أول,Normal,"دير غبار,  عمان,  الأردن",3 غرف نوم (1 ماستر) - 3 حمامات - صالون - غرفة معيشة - بلكونة - غرفة خادمة,مطبخ راكب - ارضيات بورسلان - تكييف وحدات - تدفئة - خزائن بالحائط - ابواب امان - حمامات معلقة - باباجورات كهربائية - ديكورات جبصين - شاور بوكس - مصعد - تشطيبات سوبر ديلوكس
4,7,411.0,,,1,0,طابق أرضي,Full Floor,"الرابية,  عمان,  الأردن",4 غرف نوم ماستر - 7 حمامات - صالون - غرفة معيشه - ترس - حديقة - مخزن - غرفة خادمة وغرفة غسيل - كراج خاص - 3 مداخل,مسبح خاص - ارضيات بورسلان + باركيه - تكييف مركزي - تدفئة تحت البلاط على الغاز - مطبخ راكب - خزائن بالحائط - ديكورات جبصين + خشبية - حمامات معلقة - جاكوزي - اباجورات كهربائية - شاور بوكس - موقد - بئر ماء - مصعد - ابواب امان - كاميرات مراقبة - انارة مخفية - زجاج دبل - تشطيبات سوبر ديلوكس
3,3,200.0,,,0,0,طابق أول,Normal,"الدوار السابع,  عمان,  الأردن",3 غرف نوم (ماستر1) - 3 حمامات - غرفة معيشة - صالون - 2 بلكونة - كراج,ارضيات رخام + سيراميك + باركيه - تكييف وحدات - تدفئة - زجاج دبل - ديكورات جبصين - خزائن بالحائط - مصعد - شاور بوكس - انارة مخفيةحمامات معلقة - اباجورات كهربائية - موقد - انارة مخفية - تشطيبات سوبر ديلوكس - تقع في منطقة هادئة
3,3,210.0,,,1,0,طابق أرضي,Normal,"دير غبار,  عمان,  الأردن",3 غرف نوم (1 ماستر) - 3 حمامات ndash; صالون ndash; غرفة معيشه - ترس - حديقة - مخزن ndash; غرفة خادمه و غرفة غسيل ndash; كراج,للاستفسار يرجى الاتصال على الرقم التالي : 0791235111
2,3,110.0,,,1,0,طابق أول,,"صويفية,  عمان,  الأردن",2 غرف نوم ماستر - 3 حمام - غرفة معيشة - صالون - مطبخ - بلكونة - مخزن كراج,ارضيات بورسلان - تكييف مركزي - خزائن بالحائط - زجاج دبل - ارضيات بورسلان - ديكورات جبصين - خزائن - مصعد - شاور بوكس - انارة مخفية - ابواب امان - انارة مخفية - تشطيبات سوبر ديلوكس - تقع في منطقة هادئة
3,3,300.0,,,1,0,روف,Full Floor,"ام اذينة,  عمان,  الأردن",3 غرف نوم (1ماستر) - 3 حمامات ndash; صالون - غرفة معيشه - مطبخ - - كراج,"السعر: 20,000 دينار اردني سنوي"
3,4,200.0,,,0,0,طابق أول,Normal,"دير غبار,  عمان,  الأردن",3 غرف نوم (1 ماستر) - 4 حمامات - صالون - غرفة معيشة - مطبخ راكب - بلكونة ndash; مخزن - غرفة خادمة - كراج,للاستفسار يرجى الاتصال على الرقم التالي : 0791235111
4,5,260.0,,,0,0,طابق أول,Normal,"دير غبار,  عمان,  الأردن",4 غرف نوم (2 ماستر) - 5 حمامات - صالون - غرفة معيشة - مطبخ راكب - 2 بلكونة ndash; مخزن - غرفة خادمة وغرفة غسيل - كراج,للاستفسار يرجى الاتصال على الرقم التالي : 0791235111
4,4,200.0,,,0,0,طابق شبه أرضي,Normal,"دير غبار,  عمان,  الأردن",4 غرف نوم (2 ماستر) - 4 حمامات - صالون - غرفة معيشة - مطبخ راكب - بلكونة ndash; مخزن - كراج خاص - 3 مداخل,للاستفسار يرجى الاتصال على الرقم التالي : 0791235111
3,2,181.0,,,0,0,طابق أخير مع روف,Duplex,"الدوار الرابع,  عمان,  الأردن",3 غرف نوم (1ماستر) - 2 حمامات - صالون - غرفة معيشة - مطبخ - بلكونة - ترس - مخزن - كراج,"السعر: 14,000 دينار اردني"
